"","country","date","update","cases","new_cases","deaths","new_deaths","recovered","new_recovered","active_cases","per100k","newper100k","activeper100k","deathsper100k","newdeathsper100k","days_since_case100","days_since_death10"
"14505","Hungary",2020-09-16,239,14460,581,654,8,4153,23,9653,149.7,6,99.9,6.8,0.1,179,175
"14773","Iceland",2020-09-16,239,2189,15,10,0,2104,2,75,641.9,4.4,22,2.9,0,188,149
"15032","India",2020-09-16,239,5020359,0,82066,0,3942360,0,995933,363.8,0,72.2,5.9,0,186,177
"15171","Indonesia",2020-09-16,239,228993,3963,9100,135,164101,3036,55792,83.7,1.4,20.4,3.3,0,185,182
"15497","Iran (Islamic Republic of)",2020-09-16,239,410334,2981,23632,179,352019,2035,34683,488.5,3.5,41.3,28.1,0.2,203,205
"15673","Iraq",2020-09-16,239,303059,4357,8248,82,237241,3895,57570,753.4,10.8,143.1,20.5,0.2,187,186
"15856","Ireland",2020-09-16,239,31799,250,1788,1,23364,0,6647,644,5.1,134.6,36.2,0,186,174
"16006","Israel",2020-09-16,239,170465,6063,1165,18,123219,2492,46081,1969.3,70,532.4,13.5,0.2,188,173
"16167","Italy",2020-09-16,239,291442,1452,35645,12,215265,620,40532,482,2.4,67,59,0,206,204
"16552","Jamaica",2020-09-16,239,4164,122,46,0,1180,17,2938,140.6,4.1,99.2,1.6,0,154,105
"16576","Japan",2020-09-16,239,76997,551,1481,18,68110,1209,7406,60.9,0.4,5.9,1.2,0,208,191
"17002","Jordan",2020-09-16,239,3852,175,26,0,2349,38,1477,37.8,1.7,14.5,0.3,0,178,75
"17163","Kazakhstan",2020-09-16,239,107056,72,1671,0,101455,188,3930,570.1,0.4,20.9,8.9,0,174,159
"17375","Kenya",2020-09-16,239,36301,0,634,0,23364,0,12303,67.5,0,22.9,1.2,0,167,154
"17410","Kosovo",2020-09-16,239,12683,0,488,0,8788,0,3407,704.6,0,189.3,27.1,0,169,152
"17595","Kuwait",2020-09-16,239,96999,698,571,3,87187,968,9241,2271.1,16.3,216.4,13.4,0.1,186,148
"17878","Kyrgyzstan",2020-09-16,239,45072,73,1063,0,41210,107,2799,690.9,1.1,42.9,16.3,0,169,136
"18093","Lao People's Democratic Republic",2020-09-16,239,23,0,0,0,22,0,1,0.3,0,0,0,0,0,0
"18232","Latvia",2020-09-16,239,1486,4,35,0,1248,0,203,78.8,0.2,10.8,1.9,0,180,147
"18348","Lebanon",2020-09-16,239,26083,634,259,7,9634,418,16190,382.2,9.3,237.2,3.8,0.1,185,171
"18638","Lesotho",2020-09-16,239,1327,0,33,0,687,0,607,62,0,28.3,1.5,0,69,52
"18812","Liberia",2020-09-16,239,1332,5,82,0,1214,0,36,26.3,0.1,0.7,1.6,0,148,144
"18874","Libya",2020-09-16,239,24936,792,394,11,13498,246,11044,362.9,11.5,160.7,5.7,0.2,111,94
"19221","Liechtenstein",2020-09-16,239,111,0,1,0,105,0,5,292.1,0,13.2,2.6,0,23,0
"19421","Lithuania",2020-09-16,239,3442,45,87,0,2125,31,1230,126.5,1.7,45.2,3.2,0,178,165
"19531","Luxembourg",2020-09-16,239,7394,110,124,0,6593,32,677,1181.2,17.6,108.1,19.8,0,183,173
"19686","Macao",2020-09-16,239,46,0,0,0,46,0,0,7.1,0,0,0,0,0,0
"19906","Madagascar",2020-09-16,239,15871,68,215,1,14482,30,1174,57.3,0.2,4.2,0.8,0,158,98
"20103","Mainland China",2020-09-16,239,85223,9,4634,0,80446,9,143,5.9,0,0,0.3,0,238,238
"20401","Malawi",2020-09-16,239,5704,3,178,0,3764,2,1762,29.8,0,9.2,0.9,0,114,87
"20543","Malaysia",2020-09-16,239,10031,62,128,0,9235,26,668,31,0.2,2.1,0.4,0,191,178
"20783","Maldives",2020-09-16,239,9427,99,33,0,7903,174,1491,1742.5,18.3,275.6,6.1,0,146,76
"20938","Mali",2020-09-16,239,2966,26,128,0,2311,9,527,14.6,0.1,2.6,0.6,0,157,156
"21173","Malta",2020-09-16,239,2560,106,16,0,1953,22,591,579.2,24,133.7,3.6,0,177,26
"21296","Mauritania",2020-09-16,239,7332,13,161,0,6844,5,327,157.7,0.3,7,3.5,0,120,113
"21514","Mauritius",2020-09-16,239,365,0,10,0,338,0,17,28.7,0,1.3,0.8,0,172,142
"21803","Mexico",2020-09-16,239,680931,4444,71978,300,574203,4657,34750,528.1,3.4,27,55.8,0.2,182,173
"21942","Moldova, Republic of",2020-09-16,239,44361,627,1159,16,32732,439,10470,1099.7,15.5,259.5,28.7,0.4,177,165
"22099","Monaco",2020-09-16,239,181,3,1,0,137,4,43,464.1,7.7,110.3,2.6,0,87,0
"22391","Mongolia",2020-09-16,239,311,0,0,0,301,0,10,9.5,0,0.3,0,0,123,0
"22490","Montenegro",2020-09-16,239,7291,230,126,3,4764,72,2401,1161,36.6,382.3,20.1,0.5,169,80
"22694","Morocco",2020-09-16,239,92016,1692,1686,38,72968,1921,17362,249.3,4.6,47,4.6,0.1,178,174
"22804","Mozambique",2020-09-16,239,5994,281,39,2,3267,86,2688,19.2,0.9,8.6,0.1,0,128,60
"23068","MS Zaandam Cruise Ship",2020-09-16,239,9,0,2,0,0,0,7,NA,NA,NA,NA,NA,0,0
"23191","Namibia",2020-09-16,239,9964,63,108,2,7502,144,2354,392.1,2.5,92.6,4.3,0.1,83,48
"23523","Nepal",2020-09-16,239,58327,1539,379,8,41706,1068,16242,200.2,5.3,55.7,1.3,0,132,104
"23617","Netherlands",2020-09-16,239,90425,1752,6303,3,2238,92,81884,527.7,10.2,477.9,36.8,0,194,187
